q,A,B,C,D,ans,sub
तापमान (Temperature) का SI मात्रक क्या है?,सेल्सियस,फारेनहाइट,केल्विन (Kelvin),जूल,C,Science GK
ज्योति तीव्रता (Luminous Intensity) का मात्रक क्या है?,लक्स,कैंडेला (Candela),वेबर,ल्युमेन,B,Science GK
पदार्थ की मात्रा (Amount of Substance) का मात्रक क्या है?,किलोग्राम,ग्राम,मोल (Mole),लीटर,C,Science GK
विद्युत आवेश (Electric Charge) का मात्रक क्या है?,एम्पीयर,वोल्ट,कूलॉम (Coulomb),ओम,C,Science GK
विद्युत धारिता (Capacitance) का मात्रक क्या है?,फैराड (Farad),हेनरी,टेस्ला,वेबर,A,Science GK
चुम्बकीय फ्लक्स (Magnetic Flux) का मात्रक क्या है?,टेस्ला,वेबर (Weber),गॉस,हेनरी,B,Science GK
चुम्बकीय क्षेत्र (Magnetic Field) का मात्रक क्या है?,वेबर,हेनरी,टेस्ला (Tesla),कूलॉम,C,Science GK
प्रेरकत्व (Inductance) का मात्रक क्या है?,हेनरी (Henry),फैराड,टेस्ला,वेबर,A,Science GK
रेडियोधर्मिता (Radioactivity) की इकाई क्या है?,क्यूरी,बेकरेल,रदरफोर्ड,उपरोक्त सभी,D,Science GK
1 अश्व शक्ति (Horse Power) में कितने वाट होते हैं?,746 वाट,1000 वाट,500 वाट,750 वाट,A,Science GK
प्रकाश वर्ष (Light Year) कितनी दूरी के बराबर होता है?,9.46 x 10^15 मीटर,3.0 x 10^8 मीटर,1.5 x 10^11 मीटर,इनमें से कोई नहीं,A,Science GK
दूरी मापने की सबसे बड़ी इकाई क्या है?,प्रकाश वर्ष,पारसेक (Parsec),खगोलीय इकाई,मील,B,Science GK
'रसायनों का राजा' (King of Chemicals) किसे कहा जाता है?,हाइड्रोक्लोरिक अम्ल,नाइट्रिक अम्ल,सल्फ्यूरिक अम्ल (H2SO4),एसिटिक अम्ल,C,Science GK
भारी जल (Heavy Water) का रासायनिक सूत्र क्या है?,H2O,D2O (Deuterium Oxide),H2O2,HD2,B,Science GK
भारी जल की खोज किसने की थी?,रदरफोर्ड,चैडविक,एच.सी. उरे (H.C. Urey),न्यूटन,C,Science GK
कास्टिक सोडा (Caustic Soda) का रासायनिक नाम क्या है?,सोडियम कार्बोनेट,सोडियम हाइड्रॉक्साइड (NaOH),सोडियम क्लोराइड,कैल्शियम कार्बोनेट,B,Science GK
