q,A,B,C,D,ans,sub
रक्त समूह (Blood Group) की खोज किसने की थी?,रॉबर्ट कोच,कार्ल लैंडस्टीनर,विलियम हार्वे,लुई पाश्चर,B,Science GK
रक्त परिसंचरण (Blood Circulation) की खोज किसने की?,कार्ल लैंडस्टीनर,विलियम हार्वे,रॉबर्ट हुक,मेंडल,B,Science GK
पोलियो की वैक्सीन (टीका) की खोज किसने की थी?,अलेक्जेंडर फ्लेमिंग,जोनास साल्क,एडवर्ड जेनर,रॉबर्ट कोच,B,Science GK
चेचक (Smallpox) के टीके की खोज किसने की थी?,एडवर्ड जेनर,लुई पाश्चर,अलेक्जेंडर फ्लेमिंग,वाटसन,A,Science GK
रेबीज (Rabies) के टीके की खोज किसने की थी?,रॉबर्ट कोच,एडवर्ड जेनर,लुई पाश्चर,रोनाल्ड रॉस,C,Science GK
टीबी (Tuberculosis) के जीवाणु की खोज किसने की थी?,रॉबर्ट कोच,कार्ल लैंडस्टीनर,लुई पाश्चर,हैनसेन,A,Science GK
मलेरिया परजीवी की खोज किसने की थी?,रोनाल्ड रॉस,एडवर्ड जेनर,लुई पाश्चर,अलेक्जेंडर फ्लेमिंग,A,Science GK
विटामिन की खोज किसने की थी?,फंक (Funk),मैकुलन,होलकट,हॉपकिंस,A,Science GK
विटामिन बी (Vitamin B) की खोज किसने की थी?,फंक,मैकुलन (McCollum),होलकट,हॉपकिंस,B,Science GK
आनुवंशिकी (Genetics) का पिता किसे कहा जाता है?,डार्विन,लैमार्क,ग्रेगर जॉन मेंडल,ह्यूगो डी व्रीस,C,Science GK
विकासवाद (Theory of Evolution) का सिद्धांत किसने दिया?,मेंडल,चार्ल्स डार्विन,लैमार्क,न्यूटन,B,Science GK
उत्परिवर्तन (Mutation) का सिद्धांत किसने दिया?,डार्विन,लैमार्क,ह्यूगो डी व्रीस,मेंडल,C,Science GK
कोशिका का 'नियंत्रण कक्ष' (Control Room) किसे कहा जाता है?,राइबोसोम,लाइसोसोम,केंद्रक (Nucleus),माइटोकॉन्ड्रिया,C,Science GK
आरबीसी (RBC) का निर्माण शरीर में कहाँ होता है?,यकृत में,अस्थि मज्जा (Bone Marrow) में,हृदय में,फेफड़ों में,B,Science GK
रक्त का शुद्धिकरण (Purification) कहाँ होता है?,हृदय,फेफड़े,गुर्दा (Kidney),यकृत,C,Science GK
मानव शरीर की सबसे लंबी पेशी (Muscle) कौन सी है?,ग्लूटियस मैक्सिमस,सार्टोरियस (Sartorius),स्टेपिडियस,बाईसेप्स,B,Science GK
मानव शरीर में कुल कितने प्रकार के अमीनो अम्ल (Amino Acids) पाए जाते हैं?,10,15,20,25,C,Science GK
शरीर का ताप नियंत्रक ग्रंथि (Temperature Controller Gland) कौन सी है?,पीयूष ग्रंथि,थायराइड ग्रंथि,हाइपोथैलेमस,अग्न्याशय,C,Science GK
आयोडीन की कमी से कौन सा रोग होता है?,रिकेट्स,स्कर्वी,घेंघा (Goiter),एनीमिया,C,Science GK
लोहे (Iron) की कमी से शरीर में कौन सा रोग होता है?,घेंघा,एनीमिया (Anemia),रतौंधी,बेरी-बेरी,B,Science GK
मानव मस्तिष्क का वजन लगभग कितना होता है?,1000-1100 ग्राम,1350-1400 ग्राम,1500-1600 ग्राम,800-900 ग्राम,B,Science GK
पीलिया (Jaundice) रोग से शरीर का कौन सा अंग प्रभावित होता है?,हृदय,फेफड़े,यकृत (Liver),गुर्दा,C,Science GK
इलेक्ट्रोकार्डियोग्राफ (ECG) का प्रयोग किसकी जाँच के लिए होता है?,मस्तिष्क,हृदय,फेफड़े,गुर्दा,B,Science GK
