q,A,B,C,D,ans,sub
मानव शरीर में जल की मात्रा लगभग कितनी होती है?,50%,60-70%,80%,90%,B,Science GK
रक्त (Blood) का रंग लाल किसके कारण होता है?,प्लाज्मा,प्लेटलेट्स,हीमोग्लोबिन,डब्ल्यूबीसी (WBC),C,Science GK
सर्वग्राही (Universal Acceptor) रक्त समूह कौन सा है?,O,A,B,AB,D,Science GK
मानव शरीर की सबसे छोटी हड्डी कौन सी है?,फीमर,स्टेप्स (Stapes),टिबिया,कपाल,B,Science GK
मानव शरीर की सबसे बड़ी हड्डी कौन सी है?,स्टेप्स,टिबिया,फीमर (Femur),फिबुला,C,Science GK
मानव मस्तिष्क का सबसे बड़ा भाग कौन सा है?,सेरिब्रम (प्रमस्तिष्क),सेरिबेलम,मेडुला,थैलेमस,A,Science GK
लार (Saliva) में कौन सा एंजाइम पाया जाता है?,पेप्सिन,रेनिन,टायलिन (Ptyalin),ट्रिप्सिन,C,Science GK
विटामिन A का रासायनिक नाम क्या है?,थायमिन,रेटिनॉल,एस्कॉर्बिक एसिड,कैल्सीफेरोल,B,Science GK
विटामिन C का सबसे अच्छा स्रोत क्या है?,दूध,अंडा,आंवला,गाजर,C,Science GK
रतौंधी (Night Blindness) किस विटामिन की कमी से होता है?,विटामिन A,विटामिन B,विटामिन C,विटामिन D,A,Science GK
रक्त का थक्का (Blood Clotting) जमने में कौन सा विटामिन मदद करता है?,विटामिन A,विटामिन K,विटामिन D,विटामिन E,B,Science GK
कोशिका (Cell) की खोज किसने की थी?,रॉबर्ट हुक,रॉबर्ट ब्राउन,लुई पाश्चर,लिवेनहुक,A,Science GK
आत्महत्या की थैली (Suicide Bag) किसे कहा जाता है?,राइबोसोम,माइटोकॉन्ड्रिया,लाइसोसोम,गोल्जीकाय,C,Science GK
प्रोटीन की फैक्ट्री किसे कहा जाता है?,लाइसोसोम,राइबोसोम,माइटोकॉन्ड्रिया,केंद्रक,B,Science GK
टीबिया नामक हड्डी कहाँ पाई जाती है?,हाथ में,खोपड़ी में,टांग में,मुंह में,C,Science GK
पित्त (Bile) का निर्माण कहाँ होता है?,अग्न्याशय में,पिताशय में,यकृत (Liver) में,आमाशय में,C,Science GK
मानव शरीर में गुणसूत्रों (Chromosomes) की संख्या कितनी है?,42,44,46,48,C,Science GK
रक्तचाप (Blood Pressure) मापने वाले यंत्र को क्या कहते हैं?,बैरोमीटर,स्फिग्मोमैनोमीटर,पायरोमीटर,अल्टीमीटर,B,Science GK
एड्स (AIDS) बीमारी किसके कारण होती है?,जीवाणु (Bacteria),विषाणु (Virus - HIV),कवक (Fungi),प्रोटोजोआ,B,Science GK
सामान्य मनुष्य का रक्तचाप कितना होता है?,120/80 mm Hg,140/90 mm Hg,100/60 mm Hg,160/100 mm Hg,A,Science GK
पेसमेकर (Pacemaker) का संबंध शरीर के किस अंग से है?,गुर्दा,दिमाग,फेफड़ा,हृदय (Heart),D,Science GK
मानव मूत्र का पीला रंग किसके कारण होता है?,यूरिया,यूरोक्रोम,अमोनिया,बिलीरुबिन,B,Science GK
टाइफाइड से शरीर का कौन सा अंग प्रभावित होता है?,आंत (Intestine),मस्तिष्क,हृदय,फेफड़े,A,Science GK
