q,A,B,C,D,ans,sub
भारत के प्रथम राष्ट्रपति कौन थे?,जवाहरलाल नेहरू,डॉ. राजेंद्र प्रसाद,एस. राधाकृष्णन,सरदार पटेल,B,Static GK
भारत के प्रथम प्रधानमंत्री कौन थे?,लाल बहादुर शास्त्री,मोतीलाल नेहरू,जवाहरलाल नेहरू,इंदिरा गांधी,C,Static GK
भारत की प्रथम महिला प्रधानमंत्री कौन थीं?,सरोजिनी नायडू,प्रतिभा पाटिल,इंदिरा गांधी,सुचेता कृपलानी,C,Static GK
भारत की प्रथम महिला राष्ट्रपति कौन थीं?,इंदिरा गांधी,द्रौपदी मुर्मू,प्रतिभा पाटिल,सुषमा स्वराज,C,Static GK
भारत की प्रथम महिला आईपीएस (IPS) अधिकारी कौन थीं?,किरण बेदी,अन्ना जॉर्ज,स्मृति ईरानी,कल्पना चावला,A,Static GK
भारत की प्रथम महिला राज्यपाल कौन थीं?,सुचेता कृपलानी,सरोजिनी नायडू,विजया लक्ष्मी पंडित,एनी बेसेंट,B,Static GK
भारत की प्रथम महिला मुख्यमंत्री कौन थीं?,मायावती,सुषमा स्वराज,सुचेता कृपलानी,जयललिता,C,Static GK
सुप्रीम कोर्ट की प्रथम महिला न्यायाधीश कौन थीं?,लीला सेठ,फातिमा बीवी,अन्ना चांडी,सुजाता मनोहर,B,Static GK
नोबेल पुरस्कार प्राप्त करने वाले प्रथम भारतीय कौन थे?,सी.वी. रमन,रवींद्रनाथ टैगोर,हरगोबिंद खुराना,अमर्त्य सेन,B,Static GK
भारत रत्न प्राप्त करने वाली प्रथम भारतीय महिला कौन थीं?,सरोजिनी नायडू,मदर टेरेसा,इंदिरा गांधी,लता मंगेशकर,C,Static GK
अंतरिक्ष में जाने वाले प्रथम भारतीय कौन थे?,राकेश शर्मा,रवीश मल्होत्रा,कल्पना चावला,सतीश धवन,A,Static GK
माउंट एवरेस्ट पर चढ़ने वाली प्रथम भारतीय महिला कौन थीं?,संतोष यादव,बचेंद्री पाल,अरुणिमा सिन्हा,अदिति अशोक,B,Static GK
माउंट एवरेस्ट पर लगातार दो बार चढ़ने वाली प्रथम महिला कौन थीं?,बचेंद्री पाल,संतोष यादव,प्रेमलता अग्रवाल,अंशु जामसेनपा,B,Static GK
मिस वर्ल्ड (Miss World) बनने वाली प्रथम भारतीय महिला कौन थीं?,सुष्मिता सेन,ऐश्वर्या राय,रीता फारिया,प्रियंका चोपड़ा,C,Static GK
मिस यूनिवर्स (Miss Universe) बनने वाली प्रथम भारतीय कौन थीं?,रीता फारिया,सुष्मिता सेन,लारा दत्ता,हरनाज़ संधू,B,Static GK
ऑस्कर पुरस्कार जीतने वाली प्रथम भारतीय महिला कौन थीं?,भानु अथैया,नरगिस दत्त,शबाना आज़मी,स्मिता पाटिल,A,Static GK
ज्ञानपीठ पुरस्कार प्राप्त करने वाले प्रथम व्यक्ति कौन थे?,सुमित्रानंदन पंत,जी. शंकर कुरुप,रामधारी सिंह दिनकर,मुंशी प्रेमचंद,B,Static GK
भारत का सबसे बड़ा सम्मान कौन सा है?,पद्म विभूषण,परमवीर चक्र,भारत रत्न,अशोक चक्र,C,Static GK
भारत का सर्वोच्च वीरता पुरस्कार (Gallantry Award) कौन सा है?,महावीर चक्र,अशोक चक्र,परमवीर चक्र,शौर्य चक्र,C,Static GK
भारत की सबसे लंबी नदी कौन सी है?,ब्रह्मपुत्र,गंगा,गोदावरी,यमुना,B,Static GK
भारत का सबसे ऊँचा जलप्रपात (Waterfall) कौन सा है?,धुआंधार,कुंचीकल (Kunchikal),जोग,शिवसमुद्रम,B,Static GK
भारत का सबसे ऊँचा बांध कौन सा है?,भाखड़ा नांगल,सरदार सरोवर,टिहरी,हीराकुंड,C,Static GK
भारत का सबसे लंबा बांध कौन सा है?,भाखड़ा नांगल,टिहरी,हीराकुंड,नागार्जुन सागर,C,Static GK
भारत का सबसे बड़ा मरुस्थल (Desert) कौन सा है?,कच्छ का रण,लद्दाख,थार,सहारा,C,Static GK
भारत का सबसे बड़ा डेल्टा कौन सा है?,महानदी डेल्टा,सुंदरवन डेल्टा,कृष्णा डेल्टा,कावेरी डेल्टा,B,Static GK
भारत का सबसे बड़ा चिड़ियाघर (Zoo) कहाँ स्थित है?,दिल्ली,मैसूर,चेन्नई,कोलकाता (Alipore Zoo),D,Static GK
भारत की सबसे बड़ी मस्जिद कौन सी है?,मक्का मस्जिद,जामा मस्जिद (दिल्ली),हाजी अली दरगाह,ताज-उल-मस्जिद,B,Static GK
भारत का सबसे ऊँचा दरवाज़ा कौन सा है?,इंडिया गेट,गेटवे ऑफ इंडिया,बुलंद दरवाज़ा,चारमीनार,C,Static GK
विश्व का प्रथम देश जिसने कागजी मुद्रा (Paper Currency) जारी की?,भारत,अमेरिका,चीन,जापान,C,Static GK
