q,A,B,C,D,ans,sub
WWW (वर्ल्ड वाइड वेब) का आविष्कार किसने किया?,बिल गेट्स,टिम बर्नर्स ली (Tim Berners-Lee),चार्ल्स बैबेज,स्टीव जॉब्स,B,Science GK
कंप्यूटर का मस्तिष्क (Brain) किसे कहा जाता है?,रैम (RAM),रोम (ROM),सीपीयू (CPU),मदरबोर्ड,C,Science GK
1 बाइट (Byte) में कितने बिट (Bit) होते हैं?,4 बिट,8 बिट,16 बिट,32 बिट,B,Science GK
1 किलोबाइट (KB) कितने बाइट के बराबर होता है?,1000 बाइट,1024 बाइट,1048 बाइट,100 बाइट,B,Science GK
RAM का पूर्ण रूप (Full Form) क्या है?,रीड एक्सेस मेमोरी,रैंडम एक्सेस मेमोरी (Random Access Memory),रियल एक्सेस मेमोरी,रैंडम एक्टिव मेमोरी,B,Science GK
ROM का पूर्ण रूप (Full Form) क्या है?,रीड ओनली मेमोरी (Read Only Memory),रैंडम ओनली मेमोरी,रियल ओनली मेमोरी,रैंडम एक्सेस मेमोरी,A,Science GK
इंटरनेट का जनक (Father of Internet) किसे माना जाता है?,टिम बर्नर्स ली,विंट सर्फ (Vint Cerf),चार्ल्स बैबेज,मार्क जुकरबर्ग,B,Science GK
ईमेल (E-mail) का आविष्कार किसने किया?,रे टॉमलिंसन (Ray Tomlinson),बिल गेट्स,स्टीव जॉब्स,मार्क जुकरबर्ग,A,Science GK
कंप्यूटर में अशुद्धि (Error) को क्या कहा जाता है?,बाइट,बग (Bug),बिट,स्पैम,B,Science GK
भारत में निर्मित प्रथम कंप्यूटर का नाम क्या है?,परम,सिद्धार्थ,आर्यभट्ट,भास्कर,B,Science GK
भारत का प्रथम सुपर कंप्यूटर (Super Computer) कौन सा है?,सिद्धार्थ,परम 8000 (PARAM 8000),प्रत्यूष,मिहिर,B,Science GK
आईसी चिप (IC Chip) किसकी बनी होती है?,लोहा,तांबा,सिलिकॉन (Silicon),चांदी,C,Science GK
किस धातु को 'चाकू से आसानी से काटा' जा सकता है?,सोना,लोहा,सोडियम (Sodium),प्लैटिनम,C,Science GK
सोडियम (Sodium) को किसमें डुबो कर रखा जाता है?,पानी में,पेट्रोल में,मिट्टी के तेल (Kerosene) में,शराब में,C,Science GK
कौन सी अधातु (Non-Metal) विद्युत की सुचालक (Conductor) होती है?,हीरा,ग्रेफाइट (Graphite),सल्फर,फास्फोरस,B,Science GK
सबसे उत्तम कोयला (Best Coal) कौन सा होता है?,पीट,लिग्नाइट,बिटुमिनस,एन्थ्रेसाइट (Anthracite),D,Science GK
सबसे मुलायम खनिज (Softest Mineral) 'टैल्क' मुख्य रूप से क्या है?,मैग्नीशियम सिलिकेट,सोडियम सिलिकेट,सोडियम फॉस्फेट,कैल्शियम सल्फेट,A,Science GK
'क्विक सिल्वर' (Quick Silver) के नाम से किसे जाना जाता है?,चांदी,पारा (Mercury),सोना,प्लैटिनम,B,Science GK
कौन सी गैस 'फलों को कृत्रिम रूप से पकाने' में मदद करती है?,मीथेन,एसिटिलीन (Acetylene),कार्बन डाइऑक्साइड,ओजोन,B,Science GK
खाना पकाने वाले बर्तनों पर 'न चिपकने वाली परत' (Non-stick) किसकी होती है?,टेफ्लॉन (Teflon),पीवीसी (PVC),पॉलीथीन,नायलॉन,A,Science GK
जल का अधिकतम घनत्व (Maximum Density) किस तापमान पर होता है?,0°C,4°C,100°C,-4°C,B,Science GK
मनुष्य के शरीर में 'मास्टर ग्रंथि' (Master Gland) कहाँ स्थित होती है?,गले में,मस्तिष्क (Brain) में,हृदय में,पेट में,B,Science GK
मानव शरीर में रक्त की मात्रा शरीर के भार का लगभग कितना प्रतिशत होती है?,2%,5%,7%,15%,C,Science GK
श्वेत रक्त कणिकाओं (WBC) का मुख्य कार्य क्या है?,ऑक्सीजन ले जाना,रोग प्रतिरोधक क्षमता (Immunity) बढ़ाना,भोजन पचना,रक्त का थक्का जमाना,B,Science GK
मानव शरीर में 'यूरिया' (Urea) का निर्माण कहाँ होता है?,किडनी,यकृत (Liver),अग्न्याशय,फेफड़े,B,Science GK
मूत्र (Urine) का निर्माण कहाँ होता है?,यकृत,वृक्क (Kidney) में,हृदय,मस्तिष्क,B,Science GK
मनुष्य के शरीर में सबसे लंबी कोशिका (Longest Cell) कौन सी है?,तंत्रिका कोशिका (Nerve Cell),यकृत कोशिका,रक्त कोशिका,पेशी कोशिका,A,Science GK
आनुवंशिकी (Genetics) की सबसे छोटी इकाई क्या है?,डीएनए,जीन (Gene),क्रोमोसोम,आरएनए,B,Science GK
डीएनए (DNA) का पूर्ण रूप क्या है?,डिऑक्सीराइबो न्यूक्लिक एसिड,डाई न्यूक्लिक एसिड,डिऑक्सीराइबो न्यूक्लियस एसिड,इनमें से कोई नहीं,A,Science GK
आरएनए (RNA) का पूर्ण रूप क्या है?,राइबो न्यूक्लिक एसिड,रैंडम न्यूक्लिक एसिड,राइबो न्यूक्लियस एसिड,इनमें से कोई नहीं,A,Science GK
किस ग्रंथि को 'आपातकालीन ग्रंथि' (Emergency Gland) कहा जाता है?,थायराइड,पीयूष,एड्रिनल ग्रंथि (Adrenal Gland),अग्न्याशय,C,Science GK
लार (Saliva) का pH मान लगभग कितना होता है?,5.5,6.8,7.4,8.5,B,Science GK
ट्रांसफॉर्मर (Transformer) का प्रयोग किसलिए किया जाता है?,DC को AC में बदलने के लिए,AC वोल्टेज को बढ़ाने या घटाने के लिए,यांत्रिक ऊर्जा को विद्युत में बदलने के लिए,AC को DC में बदलने के लिए,B,Science GK
विद्युत फ्यूज (Electric Fuse) किसका मिश्रधातु होता है?,तांबा और टिन,सीसा (Lead) और टिन (Tin),लोहा और टिन,तांबा और जस्ता,B,Science GK
विद्युत बल्ब के अंदर कौन सी गैस भरी होती है?,ऑक्सीजन,नाइट्रोजन या आर्गन,हीलियम,कार्बन डाइऑक्साइड,B,Science GK
हीटर का तार (Coil) किसका बना होता है?,तांबा,टंगस्टन,नाइक्रोम (Nichrome),लोहा,C,Science GK
नाभिकीय रिएक्टर (Nuclear Reactor) में मंदक (Moderator) के रूप में किसका प्रयोग होता है?,भारी जल (D2O) या ग्रेफाइट,सामान्य जल,यूरेनियम,सोडियम,A,Science GK
सूर्य ग्रहण (Solar Eclipse) कब होता है?,"जब पृथ्वी, सूर्य और चंद्रमा के बीच आ जाती है","जब चंद्रमा, पृथ्वी और सूर्य के बीच आ जाता है","जब सूर्य, पृथ्वी और चंद्रमा के बीच आ जाता है",पूर्णिमा के दिन,B,Science GK
चंद्र ग्रहण (Lunar Eclipse) कब होता है?,"जब चंद्रमा, पृथ्वी और सूर्य के बीच आ जाता है","जब पृथ्वी, सूर्य और चंद्रमा के बीच आ जाती है",अमावस्या के दिन,इनमें से कोई नहीं,B,Science GK
किस ग्रह को 'भोर का तारा' (Morning Star) या 'सांझ का तारा' (Evening Star) कहा जाता है?,मंगल,बुध,शुक्र (Venus),बृहस्पति,C,Science GK
सौरमंडल का सबसे गर्म ग्रह कौन सा है?,बुध,शुक्र (Venus),मंगल,पृथ्वी,B,Science GK
क्षुद्रग्रह (Asteroids) किन दो ग्रहों के बीच पाए जाते हैं?,पृथ्वी और मंगल,मंगल और बृहस्पति (Mars & Jupiter),बृहस्पति और शनि,शुक्र और पृथ्वी,B,Science GK
ब्लैक होल (Black Hole) का सिद्धांत किसने दिया था?,अल्बर्ट आइंस्टीन,एस. चंद्रशेखर (S. Chandrasekhar),स्टीफन हॉकिंग,सी.वी. रमन,B,Science GK
भारत का प्रथम अंतरिक्ष यात्री कौन था?,नील आर्मस्ट्रांग,यूरी गागरिन,राकेश शर्मा,कल्पना चावला,C,Science GK
भारत की प्रथम महिला अंतरिक्ष यात्री कौन थीं?,सुनीता विलियम्स,कल्पना चावला,शिरिषा बांदला,बचेंद्री पाल,B,Science GK
सी.वी. रमन को किस क्षेत्र में नोबेल पुरस्कार मिला था?,रसायन विज्ञान,भौतिक विज्ञान (रमन प्रभाव),चिकित्सा,शांति,B,Science GK
राष्ट्रीय विज्ञान दिवस (National Science Day) कब मनाया जाता है?,28 फरवरी,15 अगस्त,5 सितंबर,2 अक्टूबर,A,Science GK
दूध से क्रीम निकालने पर दूध का घनत्व (Density) पर क्या प्रभाव पड़ता है?,घटता है,बढ़ता है,समान रहता है,शून्य हो जाता है,B,Science GK
बर्फ के पिघलने पर उसका आयतन (Volume) पर क्या प्रभाव पड़ता है?,बढ़ता है,घटता है,समान रहता है,पहले बढ़ता है फिर घटता है,B,Science GK
ध्वनि की चाल सबसे अधिक किसमें होती है?,हवा में,जल में,स्टील (ठोस) में,निर्वात में,C,Science GK
ध्वनि किस माध्यम में यात्रा नहीं कर सकती?,ठोस,द्रव,गैस,निर्वात (Vacuum),D,Science GK
लोहे पर जंग लगने (Rusting) से लोहे का भार पर क्या प्रभाव पड़ता है?,घटता है,बढ़ता है,समान रहता है,शून्य हो जाता है,B,Science GK
पीतल (Brass) में क्या-क्या होता है?,तांबा और टिन,तांबा और जस्ता (Copper & Zinc),तांबा और एल्युमिनियम,लोहा और कार्बन,B,Science GK
रडार (RADAR) में किस प्रकार की तरंगों का प्रयोग होता है?,रेडियो तरंगें (Radio Waves),ध्वनि तरंगें,पराबैंगनी किरणें,एक्स किरणें,A,Science GK
एक्स-रे (X-Rays) का प्रयोग किसलिए किया जाता है?,हड्डियों की जाँच के लिए,कैंसर के इलाज में,पेट की जाँच में,मस्तिष्क की जाँच में,A,Science GK
